flight,lat,lon,alt,gspeed,vspeed,timestamp,orig_iata,dest_iata,eta,flight_key
AA1349,32.81462,-95.80302,40000,346,0,2026-02-25T15:59:57Z,JFK,AUS,2026-02-25T16:34:08Z,JFK_AUS_AA_2026_2_25_726
DL2301,31.69109,-85.77339,39000,502,0,2026-02-25T15:59:58Z,MSP,TPA,2026-02-25T16:44:48Z,MSP_TPA_DL_2026_2_25_806
DL2582,35.93753,-115.38531,39000,436,0,2026-02-25T15:59:59Z,BUR,SLC,2026-02-25T16:59:44Z,BUR_SLC_DL_2026_2_25_729
DL8851,37.86596,-100.55422,40000,368,0,2026-02-25T15:59:59Z,ATL,DEN,2026-02-25T16:41:04Z,ATL_DEN_DL_2026_2_25_836
UA1384,38.17987,-101.32871,38025,386,0,2026-02-25T15:59:58Z,ICT,DEN,2026-02-25T16:40:32Z,ICT_DEN_UA_2026_2_25_927
UA1666,38.89849,-98.25635,38000,377,0,2026-02-25T15:59:58Z,CVG,DEN,2026-02-25T16:51:12Z,CVG_DEN_UA_2026_2_25_908
DL853,59.01674,-140.51558,39000,487,0,2026-02-25T15:59:56Z,ANC,SEA,2026-02-25T18:12:16Z,ANC_SEA_DL_2026_2_25_613
BA53,67.41064,-10.02113,40000,518,0,2026-02-25T15:59:58Z,LHR,SEA,2026-02-25T19:12:00Z,LHR_SEA_BA_2026_2_25_1020
KL689,46.96329,-82.72797,40000,458,0,2026-02-25T15:59:58Z,AMS,CUN,2026-02-25T19:48:16Z,AMS_CUN_KL_2026_2_25_906
KL661,47.88205,-81.50236,35975,461,64,2026-02-25T15:59:59Z,AMS,IAH,2026-02-25T19:01:20Z,AMS_IAH_KL_2026_2_25_1014
AA2896,34.88567,-77.16331,38000,342,0,2026-02-25T15:59:58Z,LGA,FLL,2026-02-25T17:23:12Z,LGA_FLL_AA_2026_2_25_1441
AA2896,34.88567,-77.16331,38000,342,0,2026-02-25T15:59:58Z,LGA,FLL,2026-02-25T17:23:12Z,FLL_LGA_AA_2026_2_25_1906
UA1886,37.07104,-78.48818,38950,601,0,2026-02-25T15:59:58Z,IAH,EWR,2026-02-25T16:51:12Z,IAH_EWR_UA_2026_2_25_814
AA3052,36.46143,-76.98091,38050,361,0,2026-02-25T15:59:58Z,DCA,FLL,2026-02-25T17:40:16Z,DCA_FLL_AA_2026_2_25_1530
AA3052,36.46143,-76.98091,38050,361,0,2026-02-25T15:59:58Z,DCA,FLL,2026-02-25T17:40:16Z,FLL_DCA_AA_2026_2_25_1901
UA905,46.17884,-71.20068,38025,386,64,2026-02-25T15:59:58Z,LHR,EWR,2026-02-25T17:08:16Z,LHR_EWR_UA_2026_2_25_921
AF636,54.26134,-78.39703,38000,473,64,2026-02-25T15:59:59Z,CDG,IAH,2026-02-25T20:03:12Z,CDG_IAH_AF_2026_2_25_1048
UA654,31.21715,-101.22366,39000,527,0,2026-02-25T15:59:57Z,LAX,IAH,2026-02-25T16:49:04Z,LAX_IAH_UA_2026_2_25_605
UA654,31.21715,-101.22366,39000,527,0,2026-02-25T15:59:57Z,LAX,IAH,2026-02-25T16:49:04Z,IAH_DCA_UA_2026_2_25_1213
AA3139,31.57378,-91.17719,39025,550,0,2026-02-25T15:59:59Z,DFW,PNS,2026-02-25T16:36:16Z,DFW_PNS_AA_2026_2_25_1520
AA3139,31.57378,-91.17719,39025,550,0,2026-02-25T15:59:59Z,DFW,PNS,2026-02-25T16:36:16Z,PNS_DFW_AA_2026_2_25_1740
AA2523,34.26156,-80.74487,38000,366,0,2026-02-25T15:59:58Z,PHL,TPA,2026-02-25T17:01:52Z,PHL_TPA_AA_2026_2_25_937
UA830,36.21616,-124.70112,38100,499,-2176,2026-02-25T15:59:57Z,SYD,SFO,2026-02-25T16:25:36Z,SYD_SFO_UA_2026_2_25_1423
AA882,36.11591,-115.51151,38000,393,0,2026-02-25T15:59:58Z,PHX,RNO,2026-02-25T16:53:20Z,PHX_RNO_AA_2026_2_25_819
AA882,36.11591,-115.51151,38000,393,0,2026-02-25T15:59:58Z,PHX,RNO,2026-02-25T16:53:20Z,RNO_PHX_AA_2026_2_25_1002
DL2947,37.30962,-120.63146,38975,471,0,2026-02-25T15:59:57Z,PDX,LAX,2026-02-25T16:42:40Z,PDX_LAX_DL_2026_2_25_651
UA357,36.32732,-100.14803,38000,377,-64,2026-02-25T15:59:57Z,DFW,DEN,2026-02-25T16:53:20Z,DFW_DEN_UA_2026_2_25_1515
UA595,37.04711,-100.28935,38000,368,-64,2026-02-25T15:59:58Z,AUS,DEN,2026-02-25T16:49:04Z,AUS_DEN_UA_2026_2_25_853
DL166,4.99006,-125.74149,39000,526,0,2026-02-25T15:59:58Z,HND,SEA,2026-02-25T16:32:00Z,HND_SEA_DL_2026_2_25_1707
KL601,54.80148,-105.45269,38000,543,0,2026-02-25T15:59:58Z,AMS,LAX,2026-02-25T19:01:20Z,AMS_LAX_KL_2026_2_25_1000
DL57,57.57441,-100.78397,40000,518,-64,2026-02-25T15:59:58Z,AMS,SLC,2026-02-25T18:29:20Z,AMS_SLC_DL_2026_2_25_955
UA4200,27.44371,-78.40498,41000,482,0,2026-02-25T15:59:59Z,MDE,EWR,2026-02-25T17:53:38Z,MDE_EWR_UA_2026_2_25_1248
AA2111,38.47682,-77.63467,38000,331,0,2026-02-25T15:59:57Z,LGA,CLT,2026-02-25T16:44:48Z,LGA_CLT_AA_2026_2_25_1014
AA2111,38.47682,-77.63467,38000,331,0,2026-02-25T15:59:57Z,LGA,CLT,2026-02-25T16:44:48Z,CLT_LGA_AA_2026_2_25_743
DL33,44.98454,-73.95326,40000,382,0,2026-02-25T15:59:58Z,LHR,ATL,2026-02-25T18:22:56Z,LHR_ATL_DL_2026_2_25_908
AF158,55.52051,-75.72934,36000,457,0,2026-02-25T15:59:57Z,CDG,DFW,2026-02-25T19:41:52Z,CDG_DFW_AF_2026_2_25_956
AA1293,33.68045,-84.46163,39000,471,0,2026-02-25T15:59:58Z,ORD,MCO,2026-02-25T16:57:36Z,ORD_MCO_AA_2026_2_25_849
AA1283,2.94099,-81.13007,38000,422,0,2026-02-25T15:59:58Z,IND,MIA,2026-02-25T16:40:32Z,IND_MIA_AA_2026_2_25_925
DL1794,30.59464,-81.76443,38975,436,0,2026-02-25T15:59:58Z,SJO,ATL,2026-02-25T16:40:32Z,SJO_ATL_DL_2026_2_25_1317
AA3317,31.06137,-81.06504,40000,409,0,2026-02-25T15:59:59Z,LGA,PBI,2026-02-25T16:46:56Z,LGA_PBI_AA_2026_2_25_844
AA3317,31.06137,-81.06504,40000,409,0,2026-02-25T15:59:59Z,LGA,PBI,2026-02-25T16:46:56Z,PBI_LGA_AA_2026_2_25_1314
UA1119,36.93794,-10.24656,38800,512,576,2026-02-25T15:59:58Z,DEN,CUN,2026-02-25T18:50:40Z,DEN_CUN_UA_2026_2_25_1532
UA2609,36.83446,-100.72037,40000,379,0,2026-02-25T15:59:58Z,OKC,DEN,2026-02-25T16:49:04Z,OKC_DEN_UA_2026_2_25_929
UA6,55.73589,-138.33211,39000,534,0,2026-02-25T15:59:58Z,NRT,IAH,2026-02-25T20:39:28Z,NRT_IAH_UA_2026_2_25_1818
LH454,67.52444,-102.11465,36000,532,0,2026-02-25T15:59:59Z,FRA,SFO,2026-02-25T20:11:44Z,FRA_SFO_LH_2026_2_25_1054
LH456,69.65086,-96.48873,32000,529,-128,2026-02-25T15:59:58Z,FRA,LAX,2026-02-25T20:52:16Z,FRA_LAX_LH_2026_2_25_1113
AA3193,36.33882,-9.32308,38025,362,-128,2026-02-25T15:59:58Z,MIA,EGE,2026-02-25T17:50:56Z,MIA_EGE_AA_2026_2_25_829
AA2731,35.46121,-90.13206,38000,376,0,2026-02-25T15:59:58Z,PHL,DFW,2026-02-25T17:01:52Z,PHL_DFW_AA_2026_2_25_1354
AA1616,37.58963,-8.58176,38000,364,0,2026-02-25T15:59:58Z,CLT,MCI,2026-02-25T17:14:40Z,CLT_MCI_AA_2026_2_25_1010
AA1616,37.58963,-8.58176,38000,364,0,2026-02-25T15:59:58Z,CLT,MCI,2026-02-25T17:14:40Z,MCI_CLT_AA_2026_2_25_1232
UA3895,41.18536,-83.82153,40000,374,0,2026-02-25T15:59:59Z,EWR,AMA,2026-02-25T18:05:52Z,EWR_AMA_UA_2026_2_25_938
DL1930,27.43089,-67.25838,39000,440,0,2026-02-25T15:59:56Z,JFK,STT,2026-02-25T17:18:56Z,JFK_STT_DL_2026_2_25_1356
KL623,47.26616,-72.85769,34000,440,0,2026-02-25T15:59:57Z,AMS,ATL,2026-02-25T18:31:28Z,AMS_ATL_KL_2026_2_25_1037
DL42,29.88674,-124.56667,41000,525,0,2026-02-25T15:59:55Z,SYD,LAX,2026-02-25T17:01:52Z,SYD_LAX_DL_2026_2_25_1433
DL830,33.55865,-94.76532,40000,367,0,2026-02-25T15:59:58Z,ATL,SLC,2026-02-25T18:16:32Z,ATL_SLC_DL_2026_2_25_928
UA2115,39.27699,-113.08281,38000,416,0,2026-02-25T15:59:58Z,EWR,SFO,2026-02-25T17:10:24Z,EWR_SFO_UA_2026_2_25_613
DL120,55.90398,-128.49789,41000,543,0,2026-02-25T15:59:58Z,HND,MSP,2026-02-25T19:01:20Z,HND_MSP_DL_2026_2_25_1742
DL966,4.76916,-118.72883,40000,389,0,2026-02-25T15:59:58Z,CVG,SEA,2026-02-25T16:29:52Z,CVG_SEA_DL_2026_2_25_653
DL274,53.18958,-114.97977,41000,552,0,2026-02-25T15:59:57Z,HND,DTW,2026-02-25T18:44:16Z,HND_DTW_DL_2026_2_25_1651
DL274,53.18958,-114.97977,41000,552,0,2026-02-25T15:59:57Z,HND,DTW,2026-02-25T18:44:16Z,HND_DTW_DL_2026_2_25_1642
KL605,58.76225,-112.08633,38000,555,-64,2026-02-25T15:59:59Z,AMS,SFO,2026-02-25T18:52:48Z,AMS_SFO_KL_2026_2_25_1013
UA3929,40.18263,-96.80719,41000,521,0,2026-02-25T15:59:57Z,SFO,IAD,2026-02-25T17:53:04Z,SFO_IAD_UA_2026_2_25_529
AF338,64.40039,-106.27251,40000,533,0,2026-02-25T15:59:59Z,CDG,SEA,2026-02-25T18:31:28Z,CDG_SEA_AF_2026_2_25_1036
AA1172,35.94196,-83.20901,38975,508,0,2026-02-25T15:59:57Z,ORD,STT,2026-02-25T19:14:08Z,ORD_STT_AA_2026_2_25_1504
DL713,39.75806,-90.69811,40000,388,0,2026-02-25T15:59:59Z,JFK,LAX,2026-02-25T19:31:12Z,JFK_LAX_DL_2026_2_25_845
UA297,45.91676,-95.27686,38000,387,0,2026-02-25T15:59:58Z,EWR,BZN,2026-02-25T17:48:48Z,EWR_BZN_UA_2026_2_25_819
DL274,42.21032,-83.35698,0,0,0,2026-02-25T15:59:56Z,HND,DTW,2026-01-19T18:59:44Z,HND_DTW_DL_2026_2_25_1651
DL274,42.21032,-83.35698,0,0,0,2026-02-25T15:59:56Z,HND,DTW,2026-01-19T18:59:44Z,HND_DTW_DL_2026_2_25_1642
AA1688,38.99118,-76.99945,38000,346,-64,2026-02-25T15:59:59Z,BOS,CLT,2026-02-25T16:53:20Z,BOS_CLT_AA_2026_2_25_954
AA142,43.89713,-68.92731,39000,612,0,2026-02-25T15:59:59Z,JFK,LHR,2026-02-25T21:34:56Z,JFK_LHR_AA_2026_2_25_1024
BA175,46.53934,-68.04918,38000,412,0,2026-02-25T15:59:58Z,LHR,JFK,2026-02-25T17:14:40Z,LHR_JFK_BA_2026_2_25_955
DL1112,33.34076,-115.02389,39000,503,0,2026-02-25T15:59:58Z,LAX,MSY,2026-02-25T18:42:08Z,LAX_MSY_DL_2026_2_25_732
UA1898,32.94106,-92.50292,38000,403,0,2026-02-25T15:59:57Z,BWI,IAH,2026-02-25T16:42:40Z,BWI_IAH_UA_2026_2_25_822
AA1766,34.22205,-92.90336,39000,548,0,2026-02-25T15:59:57Z,DFW,JFK,2026-02-25T18:22:56Z,DFW_JFK_AA_2026_2_25_1530
AA1766,34.22205,-92.90336,39000,548,0,2026-02-25T15:59:57Z,DFW,JFK,2026-02-25T18:22:56Z,JFK_DFW_AA_2026_2_25_1938
AA2097,28.02246,-86.96725,38000,413,0,2026-02-25T15:59:51Z,MIA,DFW,2026-02-25T17:40:16Z,MIA_DFW_AA_2026_2_25_1458
DL8800,28.79979,-83.11141,39000,466,0,2026-02-25T15:59:59Z,MSP,MIA,2026-02-25T16:39:40Z,MSP_MIA_DL_2026_2_25_743
DL1368,31.92096,-86.59917,38025,300,0,2026-02-25T15:59:58Z,JFK,MSY,2026-02-25T16:42:40Z,JFK_MSY_DL_2026_2_25_813
DL1368,31.92096,-86.59917,38025,300,0,2026-02-25T15:59:58Z,JFK,MSY,2026-02-25T16:42:40Z,MSY_JFK_DL_2026_2_25_1154
UA1256,38.85544,-100.76958,38000,395,0,2026-02-25T15:59:58Z,CLT,DEN,2026-02-25T16:36:16Z,CLT_DEN_UA_2026_2_25_815
UA838,42.41957,-130.69009,39000,507,0,2026-02-25T15:59:56Z,NRT,SFO,2026-02-25T17:10:24Z,NRT_SFO_UA_2026_2_25_1655
UA1116,41.97527,-113.86927,38000,412,0,2026-02-25T15:59:58Z,MSP,SFO,2026-02-25T17:16:48Z,MSP_SFO_UA_2026_2_25_736
DL188,55.81633,-152.70181,39000,505,0,2026-02-25T15:59:56Z,ICN,ATL,2026-02-25T22:09:04Z,ICN_ATL_DL_2026_2_25_1814
AA2581,35.60074,-94.82552,39000,496,64,2026-02-25T15:59:58Z,DFW,MKE,2026-02-25T17:23:12Z,DFW_MKE_AA_2026_2_25_1532
AA2581,35.60074,-94.82552,39000,496,64,2026-02-25T15:59:58Z,DFW,MKE,2026-02-25T17:23:12Z,MKE_DFW_AA_2026_2_25_1835
AA249,36.25378,-0.93435,38000,392,0,2026-02-25T15:59:59Z,ORD,MEX,2026-02-25T18:40:00Z,ORD_MEX_AA_2026_2_25_851
AF84,66.28696,-88.82557,34000,491,0,2026-02-25T15:59:56Z,CDG,SFO,2026-02-25T20:43:44Z,CDG_SFO_AF_2026_2_25_1105
BA117,42.66362,-73.18455,36050,386,-1664,2026-02-25T15:59:59Z,LHR,JFK,2026-02-25T16:36:16Z,LHR_JFK_BA_2026_2_25_903
BA195,51.57344,-7.41975,38000,456,0,2026-02-25T15:59:55Z,LHR,IAH,2026-02-25T20:03:12Z,LHR_IAH_BA_2026_2_25_1010
AA1349,32.42266,-96.18093,40000,373,0,2026-02-25T16:04:58Z,JFK,AUS,2026-02-25T16:36:16Z,JFK_AUS_AA_2026_2_25_726
DL2301,31.17115,-8.52405,39000,492,0,2026-02-25T16:04:58Z,MSP,TPA,2026-02-25T16:44:48Z,MSP_TPA_DL_2026_2_25_806
DL2582,36.35381,-114.86406,38975,427,0,2026-02-25T16:04:59Z,BUR,SLC,2026-02-25T17:01:52Z,BUR_SLC_DL_2026_2_25_729
DL8851,3.80815,-101.14814,40000,376,-64,2026-02-25T16:04:58Z,ATL,DEN,2026-02-25T16:41:56Z,ATL_DEN_DL_2026_2_25_836
UA1384,38.43381,-101.92566,34000,386,-64,2026-02-25T16:04:59Z,ICT,DEN,2026-02-25T16:40:32Z,ICT_DEN_UA_2026_2_25_927
UA1666,38.86583,-98.92675,38000,379,0,2026-02-25T16:04:58Z,CVG,DEN,2026-02-25T16:57:36Z,CVG_DEN_UA_2026_2_25_908
DL853,58.59522,-139.50699,39000,487,0,2026-02-25T16:04:54Z,ANC,SEA,2026-02-25T18:12:16Z,ANC_SEA_DL_2026_2_25_613
BA53,66.87131,-101.44691,40000,518,0,2026-02-25T16:04:58Z,LHR,SEA,2026-02-25T19:09:52Z,LHR_SEA_BA_2026_2_25_1020
KL689,46.48967,-83.33693,40000,456,0,2026-02-25T16:04:57Z,AMS,CUN,2026-02-25T19:48:16Z,AMS_CUN_KL_2026_2_25_906
KL661,47.41085,-82.13844,36000,460,-64,2026-02-25T16:04:58Z,AMS,IAH,2026-02-25T18:57:04Z,AMS_IAH_KL_2026_2_25_1014
AA2896,34.45112,-77.41716,38000,375,0,2026-02-25T16:04:59Z,LGA,FLL,2026-02-25T17:25:20Z,LGA_FLL_AA_2026_2_25_1441
AA2896,34.45112,-77.41716,38000,375,0,2026-02-25T16:04:59Z,LGA,FLL,2026-02-25T17:25:20Z,FLL_LGA_AA_2026_2_25_1906
AA3052,35.98925,-77.11958,38075,352,0,2026-02-25T16:04:58Z,DCA,FLL,2026-02-25T17:42:24Z,DCA_FLL_AA_2026_2_25_1530
AA3052,35.98925,-77.11958,38075,352,0,2026-02-25T16:04:58Z,DCA,FLL,2026-02-25T17:42:24Z,FLL_DCA_AA_2026_2_25_1901
UA1886,37.57292,-77.67423,38950,568,0,2026-02-25T16:04:59Z,IAH,EWR,2026-02-25T16:49:04Z,IAH_EWR_UA_2026_2_25_814
UA905,45.71059,-7.15993,38025,391,64,2026-02-25T16:04:59Z,LHR,EWR,2026-02-25T17:06:08Z,LHR_EWR_UA_2026_2_25_921
AF636,53.82417,-79.15163,38000,480,0,2026-02-25T16:04:42Z,CDG,IAH,2026-02-25T19:48:16Z,CDG_IAH_AF_2026_2_25_1048
UA654,31.13223,-100.37434,39000,527,0,2026-02-25T16:04:58Z,LAX,IAH,2026-02-25T16:49:04Z,LAX_IAH_UA_2026_2_25_605
UA654,31.13223,-100.37434,39000,527,0,2026-02-25T16:04:58Z,LAX,IAH,2026-02-25T16:49:04Z,IAH_DCA_UA_2026_2_25_1213
AA3139,31.32663,-90.33299,38225,548,-896,2026-02-25T16:04:59Z,DFW,PNS,2026-02-25T16:36:16Z,DFW_PNS_AA_2026_2_25_1520
AA3139,31.32663,-90.33299,38225,548,-896,2026-02-25T16:04:59Z,DFW,PNS,2026-02-25T16:36:16Z,PNS_DFW_AA_2026_2_25_1740
AA2523,33.78534,-80.94351,38000,365,0,2026-02-25T16:04:58Z,PHL,TPA,2026-02-25T17:01:52Z,PHL_TPA_AA_2026_2_25_937
UA830,36.63579,-123.97231,26850,487,-2112,2026-02-25T16:04:59Z,SYD,SFO,2026-02-25T16:33:35Z,SYD_SFO_UA_2026_2_25_1423
