IATA_CODE;AIRPORT;CITY;STATE;COUNTRY;LATITUDE;LONGITUDE
ABE;Lehigh Valley International Airport;Allentown;PA;USA;4.065.236;-7.544.040
ABI;Abilene Regional Airport;Abilene;TX;USA;3.241.132;-9.968.190
ABQ;Albuquerque International Sunport;Albuquerque;NM;USA;3.504.022;-10.660.919
ABR;Aberdeen Regional Airport;Aberdeen;SD;USA;4.544.906;-9.842.183
ABY;Southwest Georgia Regional Airport;Albany;GA;USA;3.153.552;-8.419.447
ACK;Nantucket Memorial Airport;Nantucket;MA;USA;4.125.305;-7.006.018
ACT;Waco Regional Airport;Waco;TX;USA;3.161.129;-9.723.052
ACV;Arcata Airport;Arcata/Eureka;CA;USA;4.097.812;-12.410.862
ACY;Atlantic City International Airport;Atlantic City;NJ;USA;3.945.758;-7.457.717
ADK;Adak Airport;Adak;AK;USA;5.187.796;-17.664.603
ADQ;Kodiak Airport;Kodiak;AK;USA;5.774.997;-15.249.386
AEX;Alexandria International Airport;Alexandria;LA;USA;3.132.737;-9.254.856
AGS;Augusta Regional Airport (Bush Field);Augusta;GA;USA;3.336.996;-8.196.450
AKL;Auckland Airport;Auckland;;New Zealand;-370.082;1.747.916
AKN;King Salmon Airport;King Salmon;AK;USA;5.867.680;-15.664.922
ALB;Albany International Airport;Albany;NY;USA;4.274.812;-7.380.298
ALO;Waterloo Regional Airport;Waterloo;IA;USA;4.255.708;-9.240.034
AMA;Rick Husband Amarillo International Airport;Amarillo;TX;USA;3.521.937;-10.170.593
AMS;Amsterdam Airport Schiphol;Amsterdam;North Holland;Netherlands;523.086;47.639
ANC;Ted Stevens Anchorage International Airport;Anchorage;AK;USA;6.117.432;-14.999.619
APN;Alpena County Regional Airport;Alpena;MI;USA;4.507.807;-8.356.029
ASE;Aspen-Pitkin County Airport;Aspen;CO;USA;3.922.316;-10.686.885
ATL;Hartsfield-Jackson Atlanta International Airport;Atlanta;GA;USA;3.364.044;-8.442.694
ATW;Appleton International Airport;Appleton;WI;USA;4.425.741;-8.851.948
AUS;Austin-Bergstrom International Airport;Austin;TX;USA;3.019.453;-9.766.987
AVL;Asheville Regional Airport;Asheville;NC;USA;3.543.619;-8.254.181
AVP;Wilkes-Barre/Scranton International Airport;Wilkes-Barre/Scranton;PA;USA;4.133.815;-7.572.427
AZO;Kalamazoo/Battle Creek International Airport;Kalamazoo;MI;USA;4.223.488;-8.555.206
BDL;Bradley International Airport;Windsor Locks;CT;USA;4.193.887;-7.268.323
BET;Bethel Airport;Bethel;AK;USA;6.077.978;-16.183.800
BFL;Meadows Field;Bakersfield;CA;USA;3.543.360;-11.905.677
BGM;Greater Binghamton Airport;Binghamton;NY;USA;4.220.848;-7.597.961
BGR;Bangor International Airport;Bangor;ME;USA;4.480.744;-6.882.814
BHM;Birmingham-Shuttlesworth International Airport;Birmingham;AL;USA;3.356.294;-8.675.355
BIL;Billings Logan International Airport;Billings;MT;USA;4.580.766;-10.854.286
BIS;Bismarck Municipal Airport;Bismarck;ND;USA;4.677.411;-10.074.672
BJI;Bemidji Regional Airport;Bemidji;MN;USA;4.750.942;-9.493.372
BLI;Bellingham International Airport;Bellingham;WA;USA;4.879.275;-12.253.753
BMI;Central Illinois Regional Airport at Bloomington-Normal;Bloomington;IL;USA;4.047.799;-8.891.595
BNA;Nashville International Airport;Nashville;TN;USA;3.612.448;-8.667.818
BNE;Brisbane Airport;Brisbane;Queensland;Australia;-273.842;1.531.175
BOI;Boise Airport (Boise Air Terminal);Boise;ID;USA;4.356.444;-11.622.278
BOS;Gen. Edward Lawrence Logan International Airport;Boston;MA;USA;4.236.435;-7.100.518
BPT;Jack Brooks Regional Airport (Southeast Texas Regional);Beaumont/Port Arthur;TX;USA;2.995.083;-9.402.069
BQK;Brunswick Golden Isles Airport;Brunswick;GA;USA;3.125.903;-8.146.631
BQN;Rafael Hernández Airport;Aguadilla;PR;USA;1.849.486;-6.712.944
BRD;Brainerd Lakes Regional Airport;Brainerd;MN;USA;4.639.786;-9.413.723
BRO;Brownsville/South Padre Island International Airport;Brownsville;TX;USA;2.590.683;-9.742.586
BRW;Wiley Post-Will Rogers Memorial Airport;Barrow;AK;USA;7.128.545;-15.676.600
BTM;Bert Mooney Airport;Butte;MT;USA;4.595.480;-11.249.746
BTR;Baton Rouge Metropolitan Airport;Baton Rouge;LA;USA;3.053.316;-9.114.963
BTV;Burlington International Airport;Burlington;VT;USA;4.447.300;-7.315.031
BUF;Buffalo Niagara International Airport;Buffalo;NY;USA;4.294.052;-7.873.217
BUR;Bob Hope Airport (Hollywood Burbank Airport);Burbank;CA;USA;3.420.062;-11.835.850
BWI;Baltimore-Washington International Airport;Baltimore;MD;USA;3.917.540;-7.666.820
BZN;Bozeman Yellowstone International Airport (Gallatin Field Airport);Bozeman;MT;USA;4.577.690;-11.115.301
CAE;Columbia Metropolitan Airport;Columbia;SC;USA;3.393.884;-8.111.954
CAK;Akron-Canton Regional Airport;Akron;OH;USA;4.091.631;-8.144.247
CDC;Cedar City Regional Airport;Cedar City;UT;USA;3.770.097;-11.309.858
CDG;Charles de Gaulle Airport;Paris;Île-de-France;France;490.097;25.479
CDV;Merle K. (Mudhole) Smith Airport;Cordova;AK;USA;6.049.183;-14.547.765
CEC;Del Norte County Airport (Jack McNamara Field);Crescent City;CA;USA;4.178.016;-12.423.653
