Iata_Code,Name,Latitude,Longitude,join_key
ABE,Lehigh Valley International Airport,40.65236,-75.4404,ALLENTOWN_PA
ABI,Abilene Regional Airport,32.41132,-99.6819,ABILENE_TX
ABQ,Albuquerque International Sunport,35.04022,-106.60919,ALBUQUERQUE_NM
ABR,Aberdeen Regional Airport,45.44906,-98.42183,ABERDEEN_SD
ABY,Southwest Georgia Regional Airport,31.53552,-84.19447,ALBANY_GEORGIA
ACK,Nantucket Memorial Airport,41.25305,-70.06018,NANTUCKET_MA
ACT,Waco Regional Airport,31.61129,-97.23052,WACO_TX
ACV,Arcata Airport,40.97812,-124.10862,ARCATA/EUREKA_CA
ACY,Atlantic City International Airport,39.45758,-74.57717,ATLANTIC CITY_NJ
ADK,Adak Airport,51.87796,-176.64603,ADAK_AK
ADQ,Kodiak Airport,57.74997,-152.49386,KODIAK_AK
AEX,Alexandria International Airport,31.32737,-92.54856,ALEXANDRIA_LA
AGS,Augusta Regional Airport (Bush Field),33.36996,-81.9645,AUGUSTA_GA
AKL,Auckland Airport,-3.70082,17.47916,AUCKLAND_AUK
AKN,King Salmon Airport,58.6768,-156.64922,KING SALMON_AK
ALB,Albany International Airport,42.74812,-73.80298,ALBANY_NY
ALO,Waterloo Regional Airport,42.55708,-92.40034,WATERLOO_IA
AMA,Rick Husband Amarillo International Airport,35.21937,-101.70593,AMARILLO_TX
AMS,Amsterdam Airport Schiphol,5.23086,0.47639,AMSTERDAM_NH
ANC,Ted Stevens Anchorage International Airport,61.17432,-149.99619,ANCHORAGE_AK
APN,Alpena County Regional Airport,45.07807,-83.56029,ALPENA_MI
ASE,Aspen-Pitkin County Airport,39.22316,-106.86885,ASPEN_CO
ATL,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,ATLANTA_GA
ATW,Appleton International Airport,44.25741,-88.51948,APPLETON_WI
AUS,Austin-Bergstrom International Airport,30.19453,-97.66987,AUSTIN_TX
AVL,Asheville Regional Airport,35.43619,-82.54181,ASHEVILLE_NC
AVP,Wilkes-Barre/Scranton International Airport,41.33815,-75.72427,WILKES-BARRE/SCRANTON_PA
AZO,Kalamazoo/Battle Creek International Airport,42.23488,-85.55206,KALAMAZOO_MI
BDL,Bradley International Airport,41.93887,-72.68323,WINDSOR LOCKS_CT
BET,Bethel Airport,60.77978,-161.838,BETHEL_AK
BFL,Meadows Field,35.4336,-119.05677,BAKERSFIELD_CA
BGM,Greater Binghamton Airport,42.20848,-75.97961,BINGHAMTON_NY
BGR,Bangor International Airport,44.80744,-68.82814,BANGOR_ME
BHM,Birmingham-Shuttlesworth International Airport,33.56294,-86.75355,BIRMINGHAM_AL
BIL,Billings Logan International Airport,45.80766,-108.54286,BILLINGS_MT
BIS,Bismarck Municipal Airport,46.77411,-100.74672,BISMARCK_ND
BJI,Bemidji Regional Airport,47.50942,-94.93372,BEMIDJI_MN
BLI,Bellingham International Airport,48.79275,-122.53753,BELLINGHAM_WA
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.47799,-88.91595,BLOOMINGTON_IL
BNA,Nashville International Airport,36.12448,-86.67818,NASHVILLE_TN
BNE,Brisbane Airport,-2.73842,15.31175,BRISBANE_QLD
BOI,Boise Airport (Boise Air Terminal),43.56444,-116.22278,BOISE_ID
BOS,Gen. Edward Lawrence Logan International Airport,42.36435,-71.00518,BOSTON_MA
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),29.95083,-94.02069,BEAUMONT/PORT ARTHUR_TX
BQK,Brunswick Golden Isles Airport,31.25903,-81.46631,BRUNSWICK_GA
BQN,Rafael Hernández Airport,18.49486,-67.12944,AGUADILLA_PR
