Name,State,State_ID,Latitude,Longitude,Population,Density,Timezone,join_key
Aberdeen,South Dakota,SD,454.646,-98.468,28257,680.0,America/Chicago,ABERDEEN_SD
Abilene,Texas,TX,324.543,-997.384,123420,446.0,America/Chicago,ABILENE_TX
Adak,Alaska,AK,518.815,-1.766.295,326,3.0,America/Adak,ADAK_AK
Agana,Guam,GU,13.4833,144.7933,1000,500.0,Pacific/Guam,AGANA_GU
Aguadilla,Puerto Rico,PR,184.382,-671.536,10739,1654.0,America/Puerto_Rico,AGUADILLA_PR
Akron,Ohio,OH,410.798,-815.219,565208,1231.0,America/New_York,AKRON_OH
Albany,Georgia,GA,31.5785,-84.1557,69647,466.0,America/New_York,ALBANY_GEORGIA
Albany,New York,NY,426.664,-737.987,586383,1740.0,America/New_York,ALBANY_NY
Albuquerque,New Mexico,NM,351.053,-1.066.464,761195,1155.0,America/Denver,ALBUQUERQUE_NM
Alexandria,Louisiana,LA,312.923,-924.702,80129,625.0,America/Chicago,ALEXANDRIA_LA
Allentown,Pennsylvania,PA,405.961,-754.756,683794,2672.0,America/New_York,ALLENTOWN_PA
Alpena,Michigan,MI,45.074,-834.399,13541,470.0,America/Detroit,ALPENA_MI
Amarillo,Texas,TX,351.988,-1.018.311,205603,756.0,America/Chicago,AMARILLO_TX
Amsterdam,North Holland,NH,523.676,49.041,921402,5277.0,Europe/Amsterdam,AMSTERDAM_NH
Anchorage,Alaska,AK,611.508,-1.491.091,288000,65.0,America/Anchorage,ANCHORAGE_AK
Appleton,Wisconsin,WI,442.779,-883.891,220570,1156.0,America/Chicago,APPLETON_WI
Arcata/Eureka,California,CA,40.9781,-124.1086,45000,500.0,America/Los_Angeles,ARCATA/EUREKA_CA
Arlington,Virginia,VA,388.786,-771.011,233464,3467.0,America/New_York,ARLINGTON_VA
Asheville,North Carolina,NC,355.704,-825.536,312507,786.0,America/New_York,ASHEVILLE_NC
Aspen,Colorado,CO,39.195,-1.068.369,8569,736.0,America/Denver,ASPEN_CO
Atlanta,Georgia,GA,337.627,-844.224,5449398,1441.0,America/New_York,ATLANTA_GA
