ORIGIN_AIRPORT,DESTINATION_AIRPORT,num_voli,mean_scheduled_time
ABE,ATL,892,130.92937219730942
ABE,DTW,702,104.48575498575498
ABE,ORD,655,131.2
ABI,DFW,2265,56.38896247240618
ABQ,ATL,801,182.4956304619226
ABQ,BWI,505,222.13861386138615
ABQ,CLT,95,205.0
ABQ,DAL,1572,96.96564885496183
ABQ,DEN,1582,80.26991150442478
ABQ,DFW,1767,104.61290322580645
ABQ,HOU,930,118.72043010752688
ABQ,IAH,845,127.58816568047337
ABQ,JFK,271,238.1180811808118
ABQ,LAS,1261,93.34655035685964
ABQ,LAX,1812,122.5126931567329
ABQ,MCI,315,110.84126984126983
ABQ,MCO,99,219.54545454545453
ABQ,MDW,649,163.43605546995377
ABQ,MSP,215,150.87906976744185
ABQ,OAK,795,149.38993710691824
ABQ,ORD,540,169.74444444444444
ABQ,PDX,229,172.86026200873363
ABQ,PHX,2457,77.88848188848189
ABQ,SAN,613,111.5905383360522
ABQ,SEA,407,189.9017199017199
ABQ,SFO,331,162.98791540785498
ABQ,SLC,948,101.14451476793249
ABR,MSP,666,69.76726726726727
ABY,ATL,872,55.512614678899084
ACK,BOS,116,49.741379310344826
ACK,JFK,331,72.43202416918429
ACT,DFW,1563,49.61996161228407
ACV,SFO,1281,73.75409836065573
ACY,ATL,178,123.71348314606742
ACY,BOS,182,70.8076923076923
ACY,DTW,146,109.42465753424658
ACY,FLL,813,155.69864698646987
ACY,MCO,788,142.58375634517768
ACY,MYR,331,89.20845921450152
ACY,ORD,144,148.0
ACY,PBI,153,153.11764705882354
ACY,RSW,480,160.64583333333334
ACY,TPA,330,147.25454545454545
ADK,ANC,90,163.42222222222222
ADQ,ANC,441,50.034013605442176
AEX,ATL,1221,97.51515151515152
AEX,DFW,954,77.39412997903564
AEX,IAH,912,61.93311403508772
AGS,ATL,2347,58.53387302939923
AKL,DFW,1,763.0
AKN,ANC,63,55.0
ALB,ATL,932,164.02682403433477
ALB,BWI,1671,80.79293836026332
ALB,CLT,702,139.73646723646723
ALB,DTW,492,110.14634146341463
ALB,EWR,163,68.50306748466258
ALB,FLL,343,197.8396501457726
ALB,LAS,273,333.93772893772893
ALB,MCO,685,184.5109489051095
ALB,MDW,655,143.1145038167939
ALB,MSP,201,166.7860696517413
ALB,ORD,858,146.4965034965035
ALB,TPA,379,191.93931398416888
ALO,ORD,593,78.73018549747049
AMA,DAL,1199,66.94745621351126
AMA,DEN,557,81.2818671454219
AMA,DFW,1140,73.35
AMA,IAH,885,100.74463276836158
AMA,LAS,331,132.97583081570997
AMS,ATL,1,531.0
AMS,CUN,1,648.0
AMS,IAH,1,603.0
AMS,LAX,1,595.0
AMS,SFO,1,572.0
AMS,SLC,1,587.0
ANC,ADK,91,188.12087912087912
ANC,ADQ,446,57.02466367713004
ANC,AKN,63,59.44444444444444
ANC,ATL,102,419.6764705882353
ANC,BET,885,74.35593220338983
ANC,BRW,186,115.20967741935483
ANC,CDV,330,47.56969696969697
ANC,DEN,407,310.1818181818182
ANC,DFW,118,381.0
ANC,DLG,77,65.0
ANC,FAI,333,55.57957957957958
ANC,HNL,275,371.86545454545455
ANC,IAH,83,407.93975903614455
ANC,JNU,1028,97.30155642023347
ANC,LAS,84,307.29761904761904
ANC,LAX,382,319.9738219895288
ANC,LGB,118,312.4237288135593
ANC,MSP,575,316.0417391304348
ANC,OGG,67,384.35820895522386
ANC,OME,369,92.29810298102981
ANC,ORD,635,365.3842519685039
ANC,OTZ,604,93.19536423841059
ANC,PDX,913,214.03943044906902
ANC,PHX,390,329.5948717948718
ANC,SCC,663,102.77073906485671
ANC,SEA,6362,202.16331342345174
ANC,SFO,171,281.12280701754383
ANC,SLC,98,275.2959183673469
APN,DTW,558,66.38709677419355
ASE,ATL,95,186.38947368421051
ASE,DEN,1044,54.64176245210728
ASE,DFW,299,120.91638795986623
ASE,IAH,394,147.06345177664974
ASE,LAX,734,131.59809264305176
ASE,ORD,590,162.51016949152543
ASE,SFO,196,146.23469387755102
ATL,ABE,897,121.17502787068004
ATL,ABQ,802,207.68952618453866
ATL,ABY,872,51.825688073394495
ATL,ACY,177,113.75141242937853
ATL,AEX,1222,101.62520458265139
ATL,AGS,2351,52.7043811144194
ATL,ALB,932,138.33476394849785
ATL,ANC,102,466.921568627451
ATL,ASE,94,230.14893617021278
ATL,ATW,413,132.57627118644066
ATL,AUS,3147,148.55068319034
ATL,AVL,1845,55.797289972899726
ATL,AVP,323,117.55417956656346
ATL,BDL,2324,142.21342512908777
ATL,BHM,3201,54.78787878787879
ATL,BMI,871,100.4316877152698
ATL,BNA,3213,67.75038904450669
ATL,BOS,4629,155.89328148628212
ATL,BQK,875,66.00114285714285
ATL,BTR,2494,94.61267040898156
ATL,BTV,299,146.91973244147158
ATL,BUF,1564,122.62531969309462
ATL,BWI,5787,112.13374805598755
ATL,BZN,97,256.2886597938144
ATL,CAE,2679,59.497946995147444
ATL,CAK,2036,101.21365422396856
ATL,CHA,2725,47.0645871559633
ATL,CHO,930,90.79569892473118
ATL,CHS,3184,71.11494974874371
ATL,CID,878,129.00341685649204
ATL,CLE,2837,108.08917870990483
ATL,CLT,6278,75.22809812042051
ATL,CMH,3269,94.27286631997553
ATL,COS,305,195.63934426229508
ATL,CRW,1302,80.86482334869432
ATL,CSG,1063,42.681091251175914
ATL,CVG,2372,85.51475548060708
ATL,DAB,1485,79.92929292929293
ATL,DAL,2835,140.5901234567901
ATL,DAY,1301,91.60030745580323
ATL,DCA,6402,105.6098094345517
ATL,DEN,4970,203.38732394366198
ATL,DFW,6993,146.16588016588017
ATL,DHN,1252,57.13658146964856
ATL,DSM,924,136.1060606060606
ATL,DTW,4843,118.62254800743341
ATL,ECP,2015,67.10967741935484
ATL,EGE,100,219.36
ATL,ELP,699,204.79685264663806
ATL,EVV,954,82.06184486373165
ATL,EWN,568,83.59683098591549
ATL,EWR,5020,137.90557768924302
ATL,EYW,1419,111.6229739252995
ATL,FAY,1622,76.3138101109741
ATL,FLL,7400,112.03121621621622
ATL,FNT,951,117.6235541535226
ATL,FSD,330,158.88181818181818
ATL,FSM,667,113.11544227886057
ATL,FWA,1062,101.80508474576271
ATL,GNV,2081,71.0778471888515
ATL,GPT,1407,82.90120824449183
ATL,GRB,405,135.07654320987655
ATL,GRK,591,141.9746192893401
ATL,GRR,1287,116.09401709401709
ATL,GSO,2660,76.24323308270677
ATL,GSP,2458,56.248576078112286
ATL,GTR,918,67.99782135076252
ATL,HDN,95,227.14736842105262
ATL,HNL,333,585.3873873873874
