fr24_id;flight;callsign;lat;lon;track;alt;gspeed;vspeed;squawk;timestamp;source;hex;type;reg;painted_as;operating_as;orig_iata;orig_icao;dest_iata;dest_icao;eta
3dfbb575;AA1349;AAL1349;3.281.462;-9.580.302;245;40000;346;0;565;2026-01-20T15:59:57Z;ADSB;ADC65E;B738;N987NN;AAL;AAL;JFK;KJFK;AUS;KAUS;2026-01-20T16:34:08Z
3dfbcb4e;DL2301;DAL2301;3.169.109;-8.577.339;138;39000;502;0;2637;2026-01-20T15:59:58Z;ADSB;A7824E;B753;N583NW;DAL;DAL;MSP;KMSP;TPA;KTPA;2026-01-20T16:44:48Z
3dfc602a;DL2582;DAL2582;3.593.753;-11.538.531;52;39000;436;0;2062;2026-01-20T15:59:59Z;ADSB;A0757F;BCS1;N129DU;DAL;DAL;BUR;KBUR;SLC;KSLC;2026-01-20T16:59:44Z
3dfbebeb;DL8851;DAL8851;3.786.596;-10.055.422;291;40000;368;0;7120;2026-01-20T15:59:59Z;ADSB;A8DEF1;B752;N6706Q;DAL;DAL;ATL;KATL;DEN;KDEN;2026-01-20T16:41:04Z
3dfc6248;UA1384;UAL1384;3.817.987;-10.132.871;278;38025;386;0;2526;2026-01-20T15:59:58Z;ADSB;AC4107;A319;N889UA;UAL;UAL;ICT;KICT;DEN;KDEN;2026-01-20T16:40:32Z
3dfc1f4a;UA1666;UAL1666;3.889.849;-9.825.635;266;38000;377;0;4054;2026-01-20T15:59:58Z;ADSB;A3C775;B738;N34222;UAL;UAL;CVG;KCVG;DEN;KDEN;2026-01-20T16:51:12Z
3dfc46ab;DL853;DAL853;5.901.674;-14.051.558;127;39000;487;0;7270;2026-01-20T15:59:56Z;ESTIMATED;A44502;B738;N3740C;DAL;DAL;ANC;PANC;SEA;KSEA;2026-01-20T18:12:16Z
3dfb8063;BA53;BAW5EA;6.741.064;-1.002.113;222;40000;518;0;2163;2026-01-20T15:59:58Z;ADSB;400774;B772;G-VIIW;BAW;BAW;LHR;EGLL;SEA;KSEA;2026-01-20T19:12:00Z
3dfb5cc2;KL689;KLM689;4.696.329;-8.272.797;221;40000;458;0;747;2026-01-20T15:59:58Z;ADSB;485785;B789;PH-BHN;KLM;KLM;AMS;EHAM;CUN;MMUN;2026-01-20T19:48:16Z
3dfb5a0f;KL661;KLM661;4.788.205;-8.150.236;222;35975;461;64;750;2026-01-20T15:59:59Z;ADSB;4851B0;B789;PH-BHE;KLM;KLM;AMS;EHAM;IAH;KIAH;2026-01-20T19:01:20Z
