YEAR;MONTH;DAY;DAY_OF_WEEK;AIRLINE;FLIGHT_NUMBER;ORIGIN_AIRPORT;DESTINATION_AIRPORT;SCHEDULED_DEPARTURE;DEPARTURE_TIME;DEPARTURE_DELAY;SCHEDULED_TIME;DISTANCE;SCHEDULED_ARRIVAL;ARRIVAL_TIME;ARRIVAL_DELAY;DIVERTED;CANCELLED
2026;1;20;2;AA;1349;JFK;AUS;1226;1226;0;254;2554.24;1640.0;;;0;0
2026;1;20;2;KL;661;AMS;IAH;914;914;0;603;8397.36;1918.0;;;0;0
2026;1;20;2;KL;689;AMS;CUN;906;906;0;648;9207.65;1954.0;;;0;0
2026;1;20;2;UA;905;LHR;EWR;921;921;0;465;5933.52;1707.0;;;0;0
2026;1;20;2;AF;636;CDG;IAH;948;948;0;603;8698.12;1952.0;;;0;0
2026;1;20;2;BA;53;LHR;SEA;1020;1020;0;512;7910.12;1852.0;;;0;0
2026;1;20;2;AA;1349;JFK;AUS;1226;1226;0;254;2554.24;1640.0;;;0;0
2026;1;20;2;DL;2301;MSP;TPA;1406;1406;0;162;2205.46;1648.0;;;0;0
2026;1;20;2;DL;8851;ATL;DEN;1336;1336;0;188;2017.64;1644.0;;;0;0
2026;1;20;2;AA;3052;DCA;FLL;1530;1530;0;154;1679.11;1805.0;;;0;0
2026;1;20;2;UA;1666;CVG;DEN;1408;1408;0;169;1846.1;1657.0;;;0;0
2026;1;20;2;UA;1886;IAH;EWR;1414;1414;0;155;2427.01;1650.0;;;0;0
2026;1;20;2;AA;2896;LGA;FLL;1441;1441;0;185;1918.14;1746.0;;;0;0
2026;1;20;2;DL;853;ANC;SEA;1513;1513;0;169;2411.15;1803.0;;;0;0
2026;1;20;2;DL;2582;BUR;SLC;1529;1529;0;90;1042.74;1659.0;;;0;0
2026;1;20;2;UA;1384;ICT;DEN;1527;1527;0;70;723.689;1637.0;;;0;0
2026;1;20;2;UA;830;SYD;SFO;323;323;0;784;12301.6;1628.0;;;0;0
2026;1;20;2;DL;166;HND;SEA;807;807;0;505;7959.56;1632.0;;;0;0
2026;1;20;2;DL;57;AMS;SLC;855;855;0;587;8469.87;1843.0;;;0;0
2026;1;20;2;KL;601;AMS;LAX;900;900;0;595;9371.84;1856.0;;;0;0
2026;1;20;2;DL;33;LHR;ATL;908;908;0;552;7007.78;1820.0;;;0;0
2026;1;20;2;AF;158;CDG;DFW;956;956;0;591;8409.96;1947.0;;;0;0
2026;1;20;2;UA;4200;MDE;EWR;1248;1248;0;309;4318.63;1757.0;;;0;0
2026;1;20;2;AA;2523;PHL;TPA;1437;1437;0;151;1607.58;1709.0;;;0;0
2026;1;20;2;UA;654;LAX;IAH;1405;1405;0;169;2376.82;1654.0;;;0;0
2026;1;20;2;DL;2947;PDX;LAX;1451;1451;0;112;1438.56;1643.0;;;0;0
2026;1;20;2;AA;3139;DFW;PNS;1520;1520;0;76;1050.8;1637.0;;;0;0
2026;1;20;2;UA;595;AUS;DEN;1453;1453;0;117;1335.5;1651.0;;;0;0
2026;1;20;2;UA;357;DFW;DEN;1515;1515;0;107;1157.88;1702.0;;;0;0
2026;1;20;2;AA;882;PHX;RNO;1519;1519;0;95;1066.01;1655.0;;;0;0
2026;1;20;2;AA;2111;LGA;CLT;1514;1514;0;101;941.73;1655.0;;;0;0
2026;1;20;2;UA;6;NRT;IAH;918;918;0;682;10932.2;2040.0;;;0;0
2026;1;20;2;KL;623;AMS;ATL;937;937;0;531;7395.92;1828.0;;;0;0
2026;1;20;2;LH;454;FRA;SFO;954;954;0;606;9479.89;2000.0;;;0;0
2026;1;20;2;LH;456;FRA;LAX;1013;1013;0;629;9878.61;2043.0;;;0;0
2026;1;20;2;DL;1794;SJO;ATL;1317;1317;0;207;2798.01;1645.0;;;0;0
2026;1;20;2;AA;3193;MIA;EGE;1329;1329;0;272;3027.58;1801.0;;;0;0
2026;1;20;2;AA;3317;LGA;PBI;1344;1344;0;194;1996.56;1659.0;;;0;0
2026;1;20;2;DL;1930;JFK;STT;1356;1356;0;203;2695.8;1720.0;;;0;0
2026;1;20;2;AA;2731;PHL;DFW;1354;1354;0;200;2144.56;1714.0;;;0;0
2026;1;20;2;AA;1283;IND;MIA;1425;1425;0;136;1785.82;1641.0;;;0;0
2026;1;20;2;AA;1293;ORD;MCO;1449;1449;0;130;1705.75;1700.0;;;0;0
2026;1;20;2;UA;3895;EWR;AMA;1438;1438;0;239;2580.25;1837.0;;;0;0
2026;1;20;2;AA;1616;CLT;MCI;1510;1510;0;131;1354.41;1722.0;;;0;0
2026;1;20;2;UA;1119;DEN;CUN;1532;1532;0;191;2760.06;1843.0;;;0;0
2026;1;20;2;UA;2609;OKC;DEN;1529;1529;0;80;855.477;1649.0;;;0;0
2026;1;19;1;DL;274;HND;DTW;751;751;0;668;868.079;1900.0;;;0;0
2026;1;20;2;DL;42;SYD;LAX;333;333;0;811;12358.2;1705.0;;;0;0
2026;1;20;2;DL;274;HND;DTW;742;742;0;666;106.609;1849.0;;;0;0
2026;1;20;2;DL;120;HND;MSP;842;842;0;615;9853.97;1857.0;;;0;0
2026;1;20;2;KL;605;AMS;SFO;913;913;0;572;9106.45;1845.0;;;0;0
2026;1;20;2;AF;338;CDG;SEA;936;936;0;527;8245.94;1823.0;;;0;0
2026;1;20;2;UA;2115;EWR;SFO;1113;1113;0;362;4229.31;1716.0;;;0;0
2026;1;20;2;DL;966;CVG;SEA;1153;1153;0;277;3230.5;1630.0;;;0;0
2026;1;20;2;UA;297;EWR;BZN;1319;1319;0;269;3077.2;1749.0;;;0;0
2026;1;20;2;UA;3929;SFO;IAD;1329;1329;0;261;3979.94;1751.0;;;0;0
2026;1;20;2;DL;713;JFK;LAX;1345;1345;0;342;4023.25;1928.0;;;0;0
2026;1;20;2;AA;1688;BOS;CLT;1454;1454;0;128;1242.05;1702.0;;;0;0
2026;1;20;2;DL;830;ATL;SLC;1428;1428;0;249;2851.58;1838.0;;;0;0
2026;1;20;2;AA;1172;ORD;STT;1504;1504;0;246;3504.47;1910.0;;;0;0
2026;1;20;2;AA;142;JFK;LHR;1524;1524;0;352;5711.72;2116.0;;;0;0
2026;1;20;2;UA;838;NRT;SFO;755;755;0;558;8507.86;1714.0;;;0;0
2026;1;20;2;DL;188;ICN;ATL;914;914;0;758;12508.3;2152.0;;;0;0
2026;1;20;2;BA;117;LHR;JFK;903;903;0;457;5845.41;1640.0;;;0;0
2026;1;20;2;BA;175;LHR;JFK;955;955;0;448;5818.79;1723.0;;;0;0
2026;1;20;2;AF;84;CDG;SFO;1005;1005;0;623;9266.43;2029.0;;;0;0
2026;1;20;2;UA;1256;CLT;DEN;1315;1315;0;202;2219.72;1638.0;;;0;0
2026;1;20;2;DL;1368;JFK;MSY;1313;1313;0;215;1974.96;1649.0;;;0;0
2026;1;20;2;UA;1116;MSP;SFO;1336;1336;0;231;2740.32;1727.0;;;0;0
2026;1;20;2;UA;1898;BWI;IAH;1322;1322;0;207;2106.07;1650.0;;;0;0
2026;1;20;2;DL;8800;MSP;MIA;1343;1343;0;177;2532.09;1640.0;;;0;0
2026;1;20;2;AA;249;ORD;MEX;1451;1451;0;249;2891.16;1900.0;;;0;0
2026;1;20;2;AA;2097;MIA;DFW;1458;1458;0;168;1981.21;1746.0;;;0;0
2026;1;20;2;AA;1766;DFW;JFK;1530;1530;0;158;2474.94;1809.0;;;0;0
2026;1;20;2;AA;2581;DFW;MKE;1532;1532;0;113;1480.83;1725.0;;;0;0
2026;1;20;2;DL;1112;LAX;MSY;1532;1532;0;184;2758.4;1837.0;;;0;0
2026;1;20;2;AA;246;KOA;LAX;748;748;0;286;4075.09;1234.0;;;0;0
2026;1;20;2;AA;102;HNL;DFW;637;637;0;408;6189.2;1326.0;;;0;0
2026;1;20;2;BA;195;LHR;IAH;1010;1010;0;585;8147.17;1955.0;;;0;0
2026;1;20;2;AA;1593;AUS;MIA;1118;1118;0;130;1867.81;1329.0;;;0;0
2026;1;20;2;AA;2111;CLT;LGA;1243;1243;0;70;978.59;1354.0;;;0;0
2026;1;20;2;AA;3317;PBI;LGA;1814;1814;0;133;1771.91;2027.0;;;0;0
2026;1;20;2;AA;3139;PNS;DFW;1740;1740;0;97;1066.38;1917.0;;;0;0
2026;1;20;2;DL;1368;MSY;JFK;1754;1754;0;128;2018.16;2002.0;;;0;0
2026;1;20;2;UA;654;IAH;DCA;1813;1813;0;131;2051.67;2024.0;;;0;0
2026;1;20;2;AA;882;RNO;PHX;1802;1802;0;79;1027.8;1921.0;;;0;0
2026;1;20;2;AA;1616;MCI;CLT;1832;1832;0;95;1377.02;2007.0;;;0;0
2026;1;20;2;AA;2581;MKE;DFW;1835;1835;0;129;1438.45;2044.0;;;0;0
2026;1;20;2;AA;2896;FLL;LGA;1906;1906;0;136;1839.89;2122.0;;;0;0
2026;1;20;2;AA;3052;FLL;DCA;1901;1901;0;111;1490.52;2052.0;;;0;0
2026;1;20;2;AA;1766;JFK;DFW;1938;1938;0;215;2295.48;2313.0;;;0;0
2026;1;20;2;UA;870;SYD;SFO;130;130;0;775;12335.2;1425.0;;;0;0
2026;1;20;2;DL;68;TPE;SEA;303;303;0;606;10040.6;1309.0;;;0;0
2026;1;20;2;UA;2416;SFO;EWR;803;803;0;287;4210.09;1251.0;;;0;0
2026;1;20;2;UA;1959;ANC;DEN;852;852;0;269;3974.36;1322.0;;;0;0
2026;1;20;2;DL;1183;PHL;ATL;1040;1040;0;114;1101.91;1235.0;;;0;0
2026;1;20;2;WN;1549;RDU;MDW;1117;1117;0;111;1081.78;1308.0;;;0;0
2026;1;20;2;WN;2715;MDW;MCO;1118;1118;0;127;1664.26;1325.0;;;0;0
2026;1;20;2;WN;1585;DCA;DAL;1106;1106;0;197;1954.5;1424.0;;;0;0
2026;1;20;2;WN;1350;DCA;BNA;1117;1117;0;99;931.968;1257.0;;;0;0
2026;1;20;2;AA;1604;SAT;MIA;1110;1110;0;132;1904.46;1322.0;;;0;0
2026;1;20;2;AA;1868;DFW;DCA;1121;1121;0;124;1975.81;1326.0;;;0;0
2026;1;20;2;DL;2286;JFK;ATL;1118;1118;0;134;1266.02;1333.0;;;0;0
2026;1;20;2;WN;1167;SAV;MDW;1122;1122;0;116;1259.6;1319.0;;;0;0
2026;1;20;2;DL;1330;BDL;MSP;1131;1131;0;158;1762.13;1409.0;;;0;0
2026;1;20;2;DL;2497;SAT;DTW;1125;1125;0;141;2055.88;1346.0;;;0;0
2026;1;20;2;DL;158;ICN;DTW;120;120;0;728;11859.2;1329.0;;;0;0
2026;1;20;2;UA;252;HNL;IAH;646;646;0;424;6443.57;1350.0;;;0;0
2026;1;20;2;DL;915;LAX;JFK;831;831;0;273;4208.91;1304.0;;;0;0
2026;1;20;2;AA;2617;IAD;DFW;1110;1110;0;198;1956.14;1429.0;;;0;0
2026;1;20;2;AA;1232;DCA;MIA;1059;1059;0;140;1586.47;1319.0;;;0;0
2026;1;20;2;WN;2272;IND;MCO;1109;1109;0;111;1405.68;1300.0;;;0;0
2026;1;20;2;AA;949;DCA;RSW;1120;1120;0;148;1595.42;1348.0;;;0;0
2026;1;20;2;AA;2144;IAH;MIA;1124;1124;0;114;1628.13;1318.0;;;0;0
2026;1;20;2;DL;2538;RDU;MSP;1110;1110;0;155;1666.04;1346.0;;;0;0
2026;1;20;2;UA;1488;IAH;ORD;1110;1110;0;119;1576.32;1310.0;;;0;0
2026;1;20;2;DL;2752;CVG;MSP;1122;1122;0;97;1031.56;1300.0;;;0;0
2026;1;20;2;DL;1389;IAH;DTW;1119;1119;0;124;1798.08;1323.0;;;0;0
2026;1;20;2;DL;1073;SAT;ATL;1117;1117;0;101;1502.27;1259.0;;;0;0
2026;1;20;2;UA;1289;CHS;EWR;1123;1123;0;83;1090.78;1246.0;;;0;0
2026;1;20;2;UA;1309;SRQ;EWR;1137;1137;0;128;1808.83;1346.0;;;0;0
2026;1;19;1;UA;163;DXB;EWR;2249;2249;0;894;11988.6;1344.0;;;0;0
2026;1;19;1;EK;221;DXB;DFW;2301;2301;0;923;13530.9;1425.0;;;0;0
2026;1;19;1;AA;8;BNE;DFW;2353;2353;0;866;13565.2;1420.0;;;0;0
2026;1;20;2;AA;74;HNL;ORD;516;516;0;450;6939.0;1246.0;;;0;0
2026;1;20;2;AA;9606;OGG;DFW;622;622;0;382;6035.35;1244.0;;;0;0
2026;1;20;2;UA;805;SFO;ICN;802;802;0;684;9536.52;1926.0;;;0;0
2026;1;20;2;UA;2312;SFO;SJO;818;818;0;366;5117.6;1425.0;;;0;0
2026;1;20;2;AA;1017;JFK;MIA;1043;1043;0;168;1832.33;1331.0;;;0;0
2026;1;20;2;WN;2977;DCA;MDW;1118;1118;0;108;1025.37;1306.0;;;0;0
2026;1;20;2;WN;4958;LGA;BNA;1125;1125;0;131;1253.55;1336.0;;;0;0
2026;1;20;2;WN;2296;LGA;STL;1131;1131;0;149;1482.29;1401.0;;;0;0
2026;1;20;2;UA;1525;PBI;EWR;1106;1106;0;135;1847.34;1322.0;;;0;0
2026;1;20;2;WN;724;BUF;MDW;1131;1131;0;83;815.217;1254.0;;;0;0
2026;1;20;2;DL;2127;IAD;ATL;1124;1124;0;92;875.069;1256.0;;;0;0
2026;1;20;2;UA;1105;MCO;EWR;1120;1120;0;120;1633.14;1320.0;;;0;0
2026;1;20;2;AA;34;AKL;DFW;21;21;0;763;12266.1;1305.0;;;0;0
2026;1;20;2;AA;9604;EZE;JFK;400;400;0;596;8931.19;1356.0;;;0;0
2026;1;20;2;UA;887;LIM;EWR;613;613;0;416;6187.33;1310.0;;;0;0
2026;1;20;2;AA;28;LAX;JFK;758;758;0;273;4392.27;1232.0;;;0;0
2026;1;20;2;AA;865;PVD;ORD;1119;1119;0;141;1468.36;1340.0;;;0;0
2026;1;20;2;AA;716;BWI;MIA;1110;1110;0;145;1617.57;1336.0;;;0;0
2026;1;20;2;AA;1942;CVG;DFW;1113;1113;0;139;1421.58;1333.0;;;0;0
2026;1;20;2;WN;879;LGA;MDW;1124;1124;0;124;1201.24;1328.0;;;0;0
2026;1;20;2;WN;1309;ATL;LGA;1115;1115;0;90;1324.13;1246.0;;;0;0
2026;1;20;2;DL;2555;DTW;MCO;1118;1118;0;135;1657.08;1334.0;;;0;0
2026;1;20;2;DL;1201;MCO;DTW;1119;1119;0;126;1615.77;1326.0;;;0;0
2026;1;20;2;UA;2434;EWR;LAX;1116;1116;0;320;4084.72;1637.0;;;0;0
2026;1;20;2;UA;1645;CLE;IAH;1131;1131;0;175;1833.37;1426.0;;;0;0
2026;1;20;2;UA;2266;SAV;EWR;1142;1142;0;91;1225.56;1313.0;;;0;0
2026;1;19;1;EK;231;DXB;IAD;2310;2310;0;848;14406.9;1319.0;;;0;0
2026;1;19;1;EK;243;DXB;YUL;2318;2318;0;804;11092.4;1243.0;;;0;0
2026;1;20;2;UA;844;GRU;ORD;157;157;0;645;9130.21;1243.0;;;0;0
2026;1;20;2;DL;650;HNL;JFK;400;400;0;540;8461.61;1301.0;;;0;0
2026;1;20;2;DL;925;ANC;SEA;1022;1022;0;170;2379.44;1313.0;;;0;0
2026;1;20;2;WN;1671;DCA;HOU;1111;1111;0;199;2010.07;1431.0;;;0;0
2026;1;20;2;WN;4424;CMH;DEN;1117;1117;0;174;1894.33;1412.0;;;0;0
2026;1;20;2;WN;4904;PHL;MDW;1044;1044;0;114;1123.15;1239.0;;;0;0
2026;1;20;2;WN;933;DCA;MCI;1122;1122;0;152;1554.03;1354.0;;;0;0
2026;1;20;2;WN;2747;ATL;MDW;1121;1121;0;96;1016.18;1258.0;;;0;0
2026;1;20;2;WN;702;BOS;STL;1135;1135;0;175;1764.0;1431.0;;;0;0
2026;1;20;2;DL;2408;FAI;SEA;1130;1130;0;173;2493.48;1424.0;;;0;0
